cmd,nl
"echo ""0 1 * * * /root/test.sh"" | tee -a /var/spool/cron/root","prints string ""0 1 * * * /root/test.sh"" to the terminal, and append it to file '/var/spool/cron/root'"
find ~ -name *.txt,search the home directory tree for files matching pattern '*.txt'
tar czfP backup.tar.gz /path/to/catalog,"create archive ""backup.tar.gz"" from /path/to/catalog"
yes 'c=(╱ ╲);printf ${c[RANDOM%2]}'|bash,display infinite scroll of random ascii art
objdump --disassemble my-crashing-program | less,page through the disassembler output of objdump on executable file 'my-crashing-program'.
"find ./ -type f -name doc.txt -printf ""found\n""","search the current directory tree for regular files named `doc.txt' and print ""found"" for each of them"
find / \( -name tmp -o -name '*.xx' \) -atime +7 -exec rm {} \;,remove all files named tmp or ending in .xx that have not been accessed for seven or more 24-hour periods
"md5=$(md5sum ""$my_iso_file"" | cut -d ' ' -f 1)","save the md5 sum hash of ""$my_iso_file"" to variable ""md5"""
find -mtime 1,find all the files that have been modified exactly 1 day ago
"awk -F""\t"" 'NF>1' file",output all lines in 'file' which contain a tab character.
libdir=$(dirname $(dirname $(which gcc)))/lib,"locates 'gcc' executable file, strips last two parts of the full path, adds '/lib' to the end and saves result in 'libdir' variable."
"find ""$dir"" -mindepth 1 -type f",find all regular files in minimum 1 level down the $dir directory
"ps -eo size,pid,user,command --sort -size | awk '{ hr=$1/1024 ; printf(""%13.2f Mb "",hr) } { for ( x=4 ; x<=NF ; x++ ) { printf(""%s "",$x) } print """" }' | awk '{total=total + $1} END {print total}'",show total memory used by processes in mb
"mv /path/subfolder/{.,}* /path/","move all files including hidden files in ""/path/subfolder/"" to ""/path/"""
"find / -name ""*.log""",find all the log files in the file system
basedir=$(pwd -L),"save the logical current working directory to variable ""basedir"""
ifconfig | grep 'inet addr:' | grep -v 127.0.0.1 | head -n1 | cut -f2 -d: | cut -f1 -d ' ',gets ip address of first listed network interface in system.
"od -a -An -v file | perl -0777ne 's/\n//g,print ""$_\n "" for /(?:esc| fs| gs| us)?(?:(?!esc| fs| gs| us).)*/gs'","print an octal dump of ""file"" with named characters, no addresses, and no suppressed duplicate lines with sections starting with ""esc"", ""fs"", ""gs"", or ""us"""
pwd | sed 's#.*/##',prints current directory name
echo -n '' | md5,find md5sum of an empty string
rpm2cpio foo.rpm | xzcat | cpio -idmv,"extract rpm ""foo.rpm"""
"find . -type f -name ""*.*"" -not -path ""*/.git/*"" -print0 | xargs -0 $SED_CMD -i ""s/$1/$2/g""","find all *.* files not within .git directory and run $sed_cmd -i ""s/$1/$2/g"" on each of them"
find /var/www -type f -name «access.log*» -size +100M,"search for all the regular/normal files with the name ""access.log"" in the folder /var/www which are bigger than 100mb"
cat /etc/passwd -n | grep `whoami` | cut -f1,"print line number of each line in /etc/passwd file, where current user name is found"
"find ~/some/directory -name ""*rb"" -exec basename {} \;","print the names of all the files from directory tree ~/some/directory whose names end in ""rb"""
"mount -o ro,remount -t yaffs2 /dev/block/mtdblk4 /system","remount ""yaffs2"" filesystem ""/dev/block/mtdblk4"" to ""/system"" as read only"
ssh -T tunneluser@111.222.333.444 <<'EOI',"ssh into ""111.222.333.444"" as user ""tunneluser"" without a pseudo-terminal and without interpreting bash variables locally"
sudo chown bob:sftponly /home/bob/writable,"change owner to ""bob"" and group to ""sftponly"" of ""/home/bob/writable"""
w -h $euids,"prints information about user $euids currently on machine and its processes, without printing header."
ldd /bin/* /usr/bin/* | sed -e '/^[^\t]/ d; s/^\t\(.* => \)\?\([^ ]*\) (.*/\2/g' | sort | uniq -c,"prints list of all libraries linked with binaries in '/bin/' and '/usr/bin/', with number of linkages for each library."
ln -f $GIT_DIR/../apresentacao/apresentacao.pdf $GIT_DIR/../capa/apresentacao.pdf,force create hard link between $git_dir/../apresentacao/apresentacao.pdf and $git_dir/../capa/apresentacao.pdf
file -bi myfile.txt,"display only mimetype of myfile.txt, without the filename."
candidates=$(which -a $cmd | wc -l),"save the number of matching executables for ""$cmd"" in $path to variable ""candidates"""
find . -name '*.txt' | perl -lne 'print if /c|d|z/',find all *.txt files under current directory that match the regex c|d|z in their names
"find . -name 'sqlite.db' -exec sqlite3 ""{}"" 'SELECT * FROM table WHERE column1=""value""' \;","find sqlite3 databases in the current directory tree and execute query 'select * from table where column1=""value""' on all of them"
ps -o user= -p $$ | awk '{print $1}',print name of user with current euid.
cd $(dirname $(which oracle)),"change directory to the directory containing the ""oracle"" executable"
find . -mtime +7,display all the files in current folder which have not been modified in the last 7 days
find . -type d -path '*/\.*' -prune -o -not -name '.*' -type f -name '*some text*' -print,find all regular files under current directory tree containing 'some text' in their names without descending into hidden directories and excluding hidden files
chown -R antoniod:antoniod /var/antoniod-data/,"recursively change the owner and group of ""/var/antoniod-data/"" to ""antoniod"""
sudo find /path/to/someDirectory -type d -print0 | xargs -0 sudo chmod 755,"change the permissions of all the directories in the folder ""/path/to/somedirectory"" to 755"
pstree -A -s $$,prints process tree for the current process with ascii line drawing characters.
find / -name *.rpm -exec chmod 755 '{}' \;,find all .rpm files and change their permissions to 755
column -t [file],"format the contents of ""[file]"" in a neat table"
find . -size 24000c,find files in the current directory tree whose size is 24000 bytes
"find . -name ""*.txt"" -execdir ls -la {} "";""",search for all the text files and display the long listing of these files from that directory
find . | sed 's/.*/& &/',display all the files in current directory with each file name displayed twice in the same row
find . -mtime 7,find all the files that have been modified in exactly 7*24 hours ago
find $dir -type f -name $1 -exec getLine {} \;,search for a file in a directory and pass it as an input to the script getline
find . — size +1000k -print,find all the files in the current folder which are bigger than 1mb
ps  -ef | grep $$ | grep -v grep,print current shell using process id
find . -type f -exec grep -n California {} \; -print | wc -l,"find all files under and below the current working directory with the word california in the file, and count the number of lines in the output"
find . -type f -name '* *',find all files with space in their names under current directory
rsync -r /path/to/source username@computer:/path/to/dest,"copy ""/path/to/source"" to '/path/to/dest' in remote ""username@computer"""
"date -d ""$(date -d ""2 months"" +%Y-%m-1) -1 day"" +%a",print the day at 1 day ago in 2 months from now
set | grep -P '^\w*X\w*(?==)',list environment variables and their values whose name matches '^\w*x\w*'
find your/dir -prune -empty,"find directory ""your/dir"" if it is empty"
find -regex '^.*/[A-Za-z]+-[0-9]+x[0-9]+\.[A-Za-z]+$' | xargs echo rm -f,remove files whose names match regular expression '^.*/[a-za-z]+-[0-9]+x[0-9]+\.[a-za-z]+$' from the current directory tree
comm -23 <(ls dir1 |sort) <(ls dir2|sort),"list files in ""dir1"" that are not in ""dir2"""
"find . -name ""*.*"" -type f -exec grep -l '<img-name>-<width:integer>x<height:integer>.<file-ext> syntax' {} \; | xargs rm -f","remove from the current directory tree all the regular files which have a dot in their names and contain string ""<img-name>-<width:integer>x<height:integer>.<file-ext> syntax"""
which lshw,"print the full path of executable ""lshw"""
find / -mount \! -readable -prune  -o  -path /dev -prune  -o  -name '*.jbd' -ls,"list in long format all files from / whose filename ends in ""jbd"", not descending into directories that are not readable while searching, and not descending into directories on other filesystems"
find / -perm /u=r,find all read only files
"find . -iname '*.png' | while read i; do mogrify -format jpg ""$i"" && rm ""$i""; echo ""Converted $i to ${i%.*}.jpg""; done",convert all the png images in the current folder to jpg images
"find ""$GIVEN_DIR"" -type d -mindepth 1",find all directories under minimum 1 level down the  $given_dir directory
find /usr/pcapps/ -mount -type f -size +1000000c | perl -lpe ' s{ }{\\ }g ' | xargs ls -l | sort +4nr | head -200,"list largest 200 files over 1,000,000 bytes in the filesystem mounted at ""/usr/pcapps"""
find / -type f -name dummy 2>/dev/null -exec cat {} \; >tesst.txt,"display the contents of all the files in the current folder which have the name ""dummy"" and discard all the errors while searching and save the output to the file tesst.txt"
find . -type f -printf '%TY-%Tm-%Td %TH:%TM: %Tz %p\n'| sort -n | tail -n1,find recursively the latest modified file in the current directory
"find / -type f -printf ""\n%Ab %p"" | head -n 11 | sort -k1M",sort and display the file name and creation month of top 11 files in the entire file system (sort in the order of month )
find pathfolder -type f  2> err.txt | wc -l,"find all regular/normal files in the folder ""pathfolder"" and display the count of files, save all the errors to err.txt file"
env | grep '^\(GO\|HOME=\|PATH=\)',"list all environment variables (name and value) whose name either equals home or path, or starts with go"
"find . -type f -print0 | xargs -0 stat -f ""%m %N"" | sort -n | tail -1 | cut -f2- -d"" """,find recursively the latest modified file in the current directory
"find . -type f -print | sed -e 's/^/""/' -e 's/$/""/' | xargs chmod 644",change permissions to 644 for all regular files in and below the current directory
find $1 -perm -u+r -exec chmod g+r {} \;,find all files/directories under $1 which have at least read permission for their owner and set read permission for group for these files/directories
"who -b | awk '{$1=""""; $2=""""; print $0}' | date -f -",print the boot time in standard date format
yes 1 | script -c 'aspell check text.txt' /dev/null,"automatically spell check file ""text.txt"" using ""aspell"" command"
find {} -name 'upvoter-*' -type f -or \( -type l \) -maxdepth 1 -perm +111,find all executable symlinks or upvoter-* files under maximum 1 level down the {} directory
find . -type f \! -iregex '.\|./.git' -exec perl -i -pe 's/$1/$upper2/gi' {} \;,find all files under current directory that match the case insensitive regex .\|./.git and replace all occurrences of the regex $1 (literal) with $upper2 (literal) in these files
find /var -iname \*.log | xargs bzip -,compress .log files in /var and below
"find . -name ""*~"" -delete",delete all files in the current directory tree whose names end with ~
"find -mindepth $i -maxdepth $i ""$@""",find all files/directories in level $i down the current directory with all positional parameters appended with the find command
find . -type d -exec /path/to/script.sh \{} \;,find all directories under current directory and run  /path/to/script.sh for each of them
cat datafile | rev | cut -d '/' -f 2 | rev,print only second from the end field from slash-separated string in file 'datafile'
alias pwd='echo -n `pwd` | pbcopy',"set alias ""pwd"" for command ""echo -n `pwd` | pbcopy"""
find / -group root | head,find all files that belongs to group 'root' under / directory and show a few lines of output from the beginning
exit 1,exits from script with exit code 1.
find . -name 'cmn-*.flac' -print | grep -P '[\x4e00-\x9fa5]',"find all "".flac"" files starting with ""cmn-"" and search for files having cjk characters using unicodes"
find . -maxdepth 1 -type f -exec rm -f {} \;,force delete all the regular/normal files in the current folder and do not search in the sub folders
"find -name ""*\ *.txt"" | xargs rm",remove all .txt files with spaces in names in and below the current directory
read -n10 -e VAR,"read the first 10 characters from standard input in an interactive shell into variable ""var"""
echo $path | rev | cut -d'/' -f4- | rev,remove the last two components (directories) of $path
sudo find /home/user/Series/ -iname sample -exec rm {} \;,delete all files named 'sample' (case insensitive) under '/home/user/series' directory tree with superuser privilege
split,split standard input into files of at most 1000 lines each
jobs -x echo %1,get a pid of a process
find ./ -regex '.*\..*',search for files in current folder using regular expressions
"echo $MOUNT_OPTS | tr , \\\n | grep '^acl$' -q","replace commas (',') with newlines in $mount_opts and search for the regex '^acl$'"
find . -name .vendor -prune -o -name '*.rb' -print,search the current directory tree for .rb files ignoring .vendor directories
sort <(ls one) <(ls two) | uniq -u,"list files in directory ""one"" and ""two"" that do not exist in the other"
"find /path/to/files/* -printf ""%TY%Tm%Td%TH%TM%TS|%p|%l"" -exec stat -Lc ""|%y"" {} \; | sed -r ""s/(.*\|)([0-9]{4})\-([0-9]{2})\-([0-9]{2}) ([0-9]{2})\:([0-9]{2})\:([0-9]{2}\.[0-9]{9}).*/\1\2\3\4\5\6\7/g""","find all files/directories under /path/to/files/* paths and print the timestamp in ymdhms format along with their paths and object of symlinks, stat them and apply the sed replacement ""s/(.*\|)([0-9]{4})\-([0-9]{2})\-([0-9]{2}) ([0-9]{2})\:([0-9]{2})\:([0-9]{2}\.[0-9]{9}).*/\1\2\3\4\5\6\7/g"" on the output"
read -s -N 1 SELECT,"silently read exactly 1 character ignoring any delimiters  into variable ""select"""
find . -type f -wholename \*.mbox,list regular files ending in .mbox
"find ./ -name ""* *"" -type f -d 1 | perl -ple '$file = $_; $file =~ s/\s+/_/g; rename($_, $file);'",find all files under  current directory and rename them by replacing all white spaces with _
"dirname ""$(readlink -f ""$0"")""",print source directory of bash script
"find /volume1/uploads -name ""*.mkv"" -exec mv \{\} \{\}.avi \;",add '.avi' extension to all files/directories with '.mkv' extension under '/volume1/uploads' directory tree
find / -links +2 -print,serach  in root directory all files which  have more than 2 links.
ssh -N -L 2222:remote.example.com:22 bridge.example.com&,"create a ssh tunnel on local port 2222 through ""bridge.example.com"" to ""remote.example.com"" port 22 without executing any commands and run in the background"
find . -name '*.php' -type f | xargs wc -l | sort -nr,"counts lines in each *.php file, sorted by number of lines, descending."
find . -maxdepth 1 -type f -name '.*' -exec basename {} \;,print the names of all hidden regular files from the current directory
od -t fD,display a dump of standard input as floating point values of double size
find . \( -name omit-directory -prune \) -o \( -type f -print \),search the current directory tree for regular files omitting directory `omit-directory'
"column <<< ""$(printf '%s\n' $module)""","print variable ""$module"" in formatted columns"
find /home -depth -print | cpio -ov -0 /dev/rmt0 | tee -a tape.log,create a backup of all the files in the home folder on a partition and save the log to a file
alias webshare='python -m SimpleHTTPServer',"set alias ""webshare"" for command 'python -m simplehttpserver'"
find . -size +10M -exec ls -ld {} \;,list all files under current directory that are greater than 10mb in size
printf $(pwd) | pbcopy,"puts working directory into clipboard, stripping newlines"
mount -L WHITE /mnt/WHITE -o rw,"mount partition with label ""white"" on ""/mnt/white"" with read and write permission"
"sed 's/,,/, ,/g;s/,,/, ,/g' data.csv | column -s, -t","replace "",,"" with "", ,"" twice in ""data.csv"" and display the "","" delimited result as a table"
"find /etc -name ""*.conf"" -mmin -30",find all files with '.conf' extension under '/etc' directory tree that have been modified in the last 30 minutes
find . -type f -print -delete,delete all the normal/regular files in the current folder
find /foo -maxdepth 1 -type f ! -name 'runscript*' -exec ln -s {} /bar/tmp/ \;,"create a symbolic link in ""/bar/tmp/"" for each file in directory ""/foo"" that does not start with ""runscript"""
who | wc -l,count the number of users logged in
find . -path '*/.svn*' -prune -o -print,print the list of files in the current directory tree skipping svn files
"find / -iname ""*.mp3"" -print",find all the mp3 files in the file system
"seq 1 100000 | sed -n '10000,10010p'","print lines 10000 to 10010 from input ""seq 1 100000"""
"find ./ -iname ""*.bz2"" -exec bzip2 -d {} \;",recursively finds all bzip2 compressed files in a current folder and decompresses them.
"tr -cd "";0-9""","remove all characters except "";"" and digits from standard input"
ls -l | tail -n +2 | head -n1,"print the second line of output of ""ls -l"""
"rename -v 's#/file##' v_{1,2,3}/file.txt","rename ""file.txt"" in directories ""v_1"", ""v_2"", and ""v_3"" each to ""v_1.txt"", ""v_2.txt"", and ""v_3.txt"" respectively and print the conversion"
"echo ""$COMMANDS""$'\n'""$ALIASES"" | sort -u",prints only unique strings of those stored in variables $commands and $aliases.
find /home -size 10M,find all the files in the folder /home which are exactly of size 10mb
finger | sed 's/^\([^ ]*\) *\([^ ]*\) *pts[^A-Z]*\([^(]*\).*/\2\t(\1)\t\3/',display users who are currently logged in
find . | grep -v xml | xargs rm -rf {},force delete all the files in the current folder expect xml files
find . -name '*.java' -exec grep REGEX {} \;,find all java files in the current folder and search for the pattern regex
find / -name Chapter1 -type f,"searches through the root filesystem (""/"") for the file named chapter1, and prints the location"
crontab -u apache -l,"list the entire cron job list of user ""apache""."
join -v1 success.txt fail.txt,output success.txt omitting lines whose first field appears in fail.txt - lines in fail.txt must appear in the same order as they do in success.txt.
"find . -name ""*.php"" | xargs grep -v -c '^$' | awk 'BEGIN {FS="":""} { cnt = cnt + $2} END {print cnt}'",counts sum of non-empty lines from all .php files in a current folder.
find /some/path -type f ! -perm -111 -ls,find files under /some/path that are not executable
"ifconfig | grep ""inet addr:"" | grep -v ""127.0.0.1"" | grep -Eo '[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}'  | head -1",gets all ip addresses from host network configuration and prints first one.
"find /home/folder1/*.txt -type f | awk -F '.txt' '{printf ""ln -s %s %s_CUSTOM_TEXT.txt\n"", $0, $1}'",print out ln commands for each file in /home/folder1/*.txt that can be run to create symlinks appending '_custom_text.txt' in their names
find /tmp/ -ctime -1 -name x*,find x* files/directories under /tmp directory whose status was changed less than 1 day ago
find . -type f | perl -ne 'print $1 if m/\.([^.\/]+)$/' | sort | uniq -c | sort -n,print a sorted list of the extensions of the regular files from the current directory tree with counts per extension
find . -size -26c -size +23c -exec ls -l '{}' \;,display long listing of all files in the current directory whose size is 24 or 25 bytes (doesnt display inode information) .
tree -L 2 -fi,list all files 2 levels deep in the current directory tree
"info gcc ""option index""","open gcc info manual and select ""option index"" menu entry."
"find ./lib/app -type f | sort | xargs awk 'ENDFILE {print """"} {print}' > myFile","find all files under ./lib/app and sort them, then print their contents to myfile"
timestamp=`date --rfc-3339=seconds`,represent current date in rfc 3339 format with precision to seconds and save it to 'timestamp' variable
"find /home -type f -name ""*.ext"" -exec perl -pi -e 's/\r//g' {} \;","remove the ""^m"" characters from all *.ext files under /home directory"
find -name '*my key phrase*' > mylist.txt,find all files/directories with 'my key phrase' in their names under current directory and redirect the output to mylist.txt
"results=$(groups ""$line"" | tr ' ' '\n' | egrep -v ""_unknown|sciences|everyone|netaccounts"")","save list of groups which user $line belongs to and not matching pattern ""_unknown|sciences|everyone|netaccounts"" in 'results' variable"
full_backup_dir=$(find . -depth \( -wholename \./\.\* \) -prune -o -mtime -1 -print),find all files in current directory that were modified less than 1 day ago excluding hidden files and put the output to full_backup_dir variable
watch -n 5 -c 'tail -f -n 50 mylogfile.txt | ccze',execute 'tail -f -n 50 mylogfile.txt | ccze' every 5 seconds and display with color support
find . -name secret -type d -prune -o -print,display all the directories in the current folder excluding those that are present in the folder secret
find . -iname '*.cpp' -print,find all the cpp files in the current folder
"find . -iname ""*.mov"" -print0 | xargs -0 -i sh -c 'ffmpeg -i {} -f flv `basename {}`'",find all *.mov (case insensitive) files under current directory and run an ffmpeg command with the path and the name for each file
find /var -iname \*.log -exec bzip {} \;,compress .log files in /var and below on an individual basis
find /your/target/path/ -type f -exec rename 's/special/regular/' '{}' \;,"recursively rename all files under /your/target/path replacing 'special' with 'regular' - all file/diretory names may not include spaces, and directory names containing such files may not contain the word 'special' in their name."
find -name file -ls,display a long listing of all files/directories named 'file' under current directory tree
find ~ -name 'arrow*',"display all the files in the home folder which begin with ""arrow"""
find . -perm 600 -print | xargs chmod 666,"add read,write permissions to all the files in the current folder which have the permission 600"
yes ok | recalcitrant.php,"continuously send ""ok"" plus newline to the program ""recalcitrant.php"""
"find /usr /bin /sbin /opt -name ""$1*"" -type f -ls","list all regular files matching the name pattern ""$1*"" (where $1 is a positional parameter) under '/usr', '/bin', '/sbin' and '/opt' directory tree"
set -o,print current shell settings
find ${INPUT_LOCATION} -name '*.pdf.marker' -exec sh -c 'echo mv $0 `dirname $0`/`basename $0 .marker` $1' {} ${OUTPUT_LOCATION} \;,show mv commands to move all *.pdf.marker files and their corresponding *.pdf files under ${input_location} to ${output_location}
"find -name ""test"" -type d -delete","remove all directories called ""test"" from the current directory tree"
source=`mktemp`,creates temporary file in default folder and saves path to it in 'source' variable.
gzip */*.txt,"compress all "".txt"" files in all sub directories with gzip"
"grep foo `find /usr/src/linux -name ""*.html""`",search for the string 'foo' in *.html files under /usr/src/linux directory
find . -name '*.pdf' -print0 | xargs -0 -n1 -I '{}' pdftotext '{}' -,print out all .pdf files from the current directory tree as plain text on the standard output
"md5sum *.txt | sort | perl -ne '($y,$f)=split; print ""$f\n"" unless $y eq $x; $x=$y'","list all "".txt"" files with a unique md5 hash"
find ~/code -type d | tr '\n' ':' | sed 's/:$//',find all directories under ~/code and replace all newlines with : in the output then remove the last :
"alias rm1g=""find / -type f -name *.tar -size +1G -exec rm -i {} \;""",assign the alias rm1g to a find command that removes any .tar file larger than a gigabyte.
find . -type f -exec grep -i “redeem reward” {} \; -print 2>/dev/null,"search for the word ""redeem reward"" in all the regular/normal files in the current folder and discard all the errors"
find . -type f -iname '*.cpp' -exec mv -t ./test/ {} \+,"move all files matching case insensitive "".cpp"" in the current directory tree to ""./test/"""
find / -type f -exec grep -Hi 'the brown dog' {} +,search for a word in all the files in the entire filesystem and display the matched fline along with the file name
sudo chmod -R 777 theDirectory/,"recursively change all permissions under ""thedirectory/"" to 777(read,write,execute for all users)"
"source <( grep ""marker"" config.sh )","interpret in the current shell all lines in config.sh which contain the word ""marker"""
"find . -name ""*.dat"" -type f -cmin +60 | grep ""^./[^/]\+dat"" | sed ""s/^.\///""",find all data files in current folder which have not been changed in the last 60 minutes and display their name without extension
shift [n],shifts the positional parameters to the left by n.
find . -name *.cpp -o -name *.h -o -name *.java,"find all the cpp(c++ source files), java, header files in the current directory"
find / -name '*.pdf',search for .pdf files
sleep 100 | sleep 200 &,start 2 sleep processes in the background
find / -mtime +50 –mtime -100,find all the files in file system which are modified more than 50 days back and less than 100 days
"echo ""$line"" | column -t","format ""$line"" as a table"
find . -mtime -14 -print,display all the files in the current folder which have been modified in the last 14*24 hours
"find . -maxdepth 1 | grep -v ""exclude these"" | xargs rm -r","remove everything in the current directory except files matching regular expression ""exclude these"""
find . -exec wc -l {} \;,display the number of lines in all the files in the current folder
find xargstest/ -name 'file??' | sort | xargs wc -l,count the number of lines in all files in the xargstest/ directory tree that match pattern 'file??'
cat `find . -name aaa.txt`,find all files named 'aaa.txt' under current directory tree and display their contents
find /home/family/Music -name '*.m4a' -print0,find all *.m4a files/directories under /home/family/music directory
find . -type f -iname *.mp3,find all .mp3 files starting from the current directory
brew link bash-completion,symlinks all of formula’s installed files into the homebrew prefix.
find /stuff -type d -exec script.py {} +,search for all the directories in a folder and give them as input to the python script
exit,exits from screen session.
rm -r classes,"recursively removes 'classes' folder, prompting user on each deletion."
find . -regextype posix-egrep -regex '.+\.(c|cpp|h)$' -print0 | grep -vzZ generated | grep -vzZ deploy | xargs -0 ls -1Ld,"list all files/directories under current directory matching the posix-egrep type regex "".+\.(c|cpp|h)$"" in their names excluding the files that contain 'generated' or 'deploy' in their paths"
find . -mindepth 2 -maxdepth 2 -type d -ls,list level 2 subdirectories of the current directory
Prints what month it was 222 days ago,"date --date=""222 days ago"" +""%m"""
mkdir /etc/cron.minute,"make directory ""/etc/cron.minute"""
find -exec some_script {} \;,"execute ""some_script"" on all files in the current directory tree"
find /root/directory/to/search -name 'filename.*',find all filename.* files/directories under /root/directory/to/search
sudo mount -a,mount all filesystems in /etc/fstab
sudo rsync -pgodt /home/ /newhome/,error - probably means -pgodt (capital d)
rsync -avz --chmod=o-rwx -p tata/ tata2/,"copy recursively ""tata/"" to ""tata2/"" and remove read, write, and execute permission for other"
find / -name .ssh* -print | tee -a ssh-stuff,find files matching `.ssh*' and append their anmes to file `ssh-stuff'
"ls -m | tr -d ' ' | tr ',' ';'","list all files in a current folder, separating names with semicolon"
tail -r myfile.txt,"reverse the order of lines in ""myfile.txt"" using bsd ""tail"" command"
"find /path/to/dir -type f -exec sed '/@GROUP/,/@END_GROUP/!d' {} \; | grep '_START'","search regular files from the /path/to/dir directory tree for lines that contain ""_start"" and are enclosed in lines ""@group"" and ""@end_group"""
"pushd ""${line/#\~/$HOME}"";","pushes directory path that saved in $line variable to the dirs stack, expanding symbol '~', if present, as home folder path."
cd $(dirname $(which $0) ),change directory to the directory containing the current script
HOST=$(hostname),"save the system host name into variable ""host"""
find . -name '.git' | xargs -n 1 dirname,"prints list of folders containing '.git', searching recursively from a current folder."
bzip2 -dc xac.bz2,"decompresses file 'xac.bz2', redirecting output to standard out."
"sudo mount -t cifs -o username=me,password=mine //192.168.0.111/serv_share /mnt/my_share","mount remote ""cifs"" filesystem ""//192.168.0.111/serv_share"" on ""/mnt/my_share"" with username ""me"" and password ""mine"""
"find . -exec echo -n '""{}"" ' \;",find all the files in the current folder and display adding quotations to each file
find ~/Music/ -maxdepth 2 -mindepth 2 -type d | sort,print a sorted list of the subdirectories of ~/music
"find -name ""*testfile*""","locate all files in the current directory and below that have ""testfile"" in their names"
"echo ""dirname: `dirname $0`""",prints folder where current script is located
"tree -afispugD --inodes | awk '{FS=""./""; ORS=""""; printf(""%-60s%s\n"",$NF,$0)}'","print inode, permissions, size, and modification date of all files in the current directory tree as a list with an extra column prepended"
find . -name *.xml -print0 | xargs -n 1 -0 invalid_command,find all the files with the extension .xml and print them in a single line and check for the validity of a command by giving the file as input
find . -type f -name '*.html',find all *.html files under current directory
awk '{s+=$1} END {print s}' mydatafile,"file 'mydatafile' has a number on each line, display the sum of these numbers."
find $PWD -type d,find all directories under present working directory
find . -maxdepth 1 -type f -print0 | xargs rm -f,force delete all the regular/normal files in the current folder and do not search in the sub folders   (print0 is used to handle files which have newlines in their names or files with the name only as spaces )
"find /home/jassi/ -name ""aliencoders.[0-9]+""",find all aliencoders.[0-9]+ files/directories under /home/jassi/ directory
diff --old-line-format '%L' --new-line-format '' --unchanged-line-format ''  <(nl File-out) <(nl File-Reference),"print specific lines in ""file-out"" that do not match ""file-reference"" to standard output"
find /working -type f -name '*.mp4',find all *.mp4 files under /working
"join -o 1.2,1.3,2.4,2.5,1.4 <(cat -n file1) <(cat -n file2)","join strings from 'file1' and 'file2', discarding excessive strings from largest file, and printing first, second and third space-separated field from first file, and third and fourth field from second file as a join result"
chgrp -R $GROUP $PATH_TO_OUTPUT_FOLDER,recursively changes group ownership of the $path_to_output_folder directory to $group group.
find . -type f | xargs chown username,change the ownership of all regular/normal files in the current directory
time cut -f50000000 -d$'\n' myfile.ascii,"print time required to get line number 50000000 from text file ""myfile.ascii""."
"find ""/tmp/1/"" -iname ""*.txt"" | sed 's/[0-9A-Za-z]*\.txt//g",find all the text files in the folder /tmp/1 and display only those files which have spaces in their names
find . -type l -name link1,"search the current directory tree for symbolic links named ""link1"""
"find . -type f | xargs grep -l ""textToSearch"" | cpio -pV $destination_path","copy all files in the current directory tree matching ""texttosearch"" to ""$destination_path"""
comm -23 <(sort subset | uniq) <(sort set | uniq) | head -1,"check if the contents of file ""subset"" is a subset of file ""set"""
pstree -p 1782 | sed 's/-/\n/g' | sed -n -e 's/.*(\([0-9]\+\)).*/\1/p',lists the pids of all processes that have process '1782' as their parent.
"mkdir Labs/lab4a/{folder1,myfolder,foofolder}","make directories ""labs/lab4a/folder1"", ""labs/lab4a/myfolder"", and ""labs/lab4a/foofolder"""
find -name file -delete,delete all files/directories named 'file' under current directory tree
find $d -maxdepth 1 -perm -100 -type f | sed 's#.*/##',find all files under $d directory (no sub-directories) that are executable by owner and print only their names
find . -name test -prune -o -print,display all files in the current folder with the name test excluding those that are present folder test
"find . -type d -name ""build*"" | sort -r",find all build* directories under current directory and reverse sort them
find -print | xargs -d'\n',find all files/directories under current directory and print them with newline as the delimiter
"for i in `find .  -not \( -name ""*\.jpg"" \) -path './bookshop/mediaimg' -prune -o -path '*/CVS*' -prune -o  -path './files' -prune  -o -path './images/cms' -prune -o -path './internal' -prune -o -path './limesurvey171plus_build5638' -prune  -o -path './gallery2' -prune -o  -print  `; do cvs status  ""$i"" |grep Status ; done &>~/output.txt","find all files/directories under current directory without descending into './bookshop/mediaimg', '*/cvs*', './files', './images/cms', './internal', './limesurvey171plus_build5638' and './gallery2' paths, then run cvs command with 'status' and each path as arguments and redirect the output to output.txt fle"
sudo find /path/to/Dir -type f -print0 | xargs -0 sudo chmod 644,find all files under /path/to/dir and set their permission to 644
find . -name '*.py' | xargs perl script.pl,find all *.py files under current directory and run 'perl script.pl' with the file paths as arguments
grep -f file2 file1 | sort -u,"search ""file1"" for lines matching regex patterns listed in ""file2"" and list the unique results (sorted alphabetically)"
find . -type f -atime -7,display all regular/normal files in the current folder which are accessed in the last 7*24 hours
scp -v /my_folder/my_file.xml user@server_b:/my_new_folder/,"connect to host ""server_b"" as ssh user ""user"" and copy local file ""/my_folder/my_file.xml"" to server_b's directory ""/my_new_folder/""."
find . -type d -exec chmod 0755 {} \;,change the permission to 0755 for all directories under current directory
cat /proc/17709/cmdline | xargs -0 echo,print command line of process with pid 17709
find dirname -exec grep foo {} +,"search the files from directory tree ""dirname"" for string ""foo"""
cat files.txt | xargs du -c | tail -1 | awk '{print $1}',"print the total disk usage in bytes of all files listed in ""files.txt"""
